No,Komoditas,Tanggal_Raw,Harga,Tahun_Sumber
1,Telur Ayam Ras Segar,16/08/2017,21200,Idul Adha 2017
V,Bawang Merah,16/08/2017,27250,Idul Adha 2017
1,Bawang Merah Ukuran Sedang,16/08/2017,27250,Idul Adha 2017
VI,Bawang Putih,16/08/2017,33600,Idul Adha 2017
1,Bawang Putih Ukuran Sedang,16/08/2017,33600,Idul Adha 2017
VII,Cabai Merah,16/08/2017,27650,Idul Adha 2017
1,Cabai Merah Besar,16/08/2017,30950,Idul Adha 2017
2,Cabai Merah Keriting ,16/08/2017,24400,Idul Adha 2017
VIII,Cabai Rawit,16/08/2017,29650,Idul Adha 2017
1,Cabai Rawit Hijau,16/08/2017,21250,Idul Adha 2017
2,Cabai Rawit Merah,16/08/2017,38050,Idul Adha 2017
IX,Minyak Goreng,16/08/2017,13250,Idul Adha 2017
1,Minyak Goreng Curah,16/08/2017,11950,Idul Adha 2017
2,Minyak Goreng Kemasan Bermerk 1,16/08/2017,14150,Idul Adha 2017
3,Minyak Goreng Kemasan Bermerk 2,16/08/2017,13650,Idul Adha 2017
X,Gula Pasir,16/08/2017,14600,Idul Adha 2017
1,Gula Pasir Kualitas Premium,16/08/2017,16200,Idul Adha 2017
2,Gula Pasir Lokal,16/08/2017,12950,Idul Adha 2017
I,Beras,18/08/2017,10250,Idul Adha 2017
1,Beras Kualitas Bawah I,18/08/2017,9100,Idul Adha 2017
2,Beras Kualitas Bawah II,18/08/2017,8500,Idul Adha 2017
3,Beras Kualitas Medium I,18/08/2017,10250,Idul Adha 2017
4,Beras Kualitas Medium II,18/08/2017,9750,Idul Adha 2017
5,Beras Kualitas Super I,18/08/2017,12450,Idul Adha 2017
6,Beras Kualitas Super II,18/08/2017,11400,Idul Adha 2017
II,Daging Ayam,18/08/2017,31500,Idul Adha 2017
1,Daging Ayam Ras Segar,18/08/2017,31500,Idul Adha 2017
III,Daging Sapi,18/08/2017,121700,Idul Adha 2017
1,Daging Sapi Kualitas 1,18/08/2017,126900,Idul Adha 2017
2,Daging Sapi Kualitas 2,18/08/2017,116450,Idul Adha 2017
IV,Telur Ayam,18/08/2017,21050,Idul Adha 2017
1,Telur Ayam Ras Segar,18/08/2017,21050,Idul Adha 2017
V,Bawang Merah,18/08/2017,26350,Idul Adha 2017
1,Bawang Merah Ukuran Sedang,18/08/2017,26350,Idul Adha 2017
VI,Bawang Putih,18/08/2017,33700,Idul Adha 2017
1,Bawang Putih Ukuran Sedang,18/08/2017,33700,Idul Adha 2017
VII,Cabai Merah,18/08/2017,26650,Idul Adha 2017
1,Cabai Merah Besar,18/08/2017,29700,Idul Adha 2017
2,Cabai Merah Keriting ,18/08/2017,23600,Idul Adha 2017
VIII,Cabai Rawit,18/08/2017,27700,Idul Adha 2017
1,Cabai Rawit Hijau,18/08/2017,20150,Idul Adha 2017
2,Cabai Rawit Merah,18/08/2017,35250,Idul Adha 2017
IX,Minyak Goreng,18/08/2017,13250,Idul Adha 2017
1,Minyak Goreng Curah,18/08/2017,11950,Idul Adha 2017
2,Minyak Goreng Kemasan Bermerk 1,18/08/2017,14200,Idul Adha 2017
3,Minyak Goreng Kemasan Bermerk 2,18/08/2017,13600,Idul Adha 2017
X,Gula Pasir,18/08/2017,14650,Idul Adha 2017
1,Gula Pasir Kualitas Premium,18/08/2017,16350,Idul Adha 2017
2,Gula Pasir Lokal,18/08/2017,12950,Idul Adha 2017
I,Beras,21/08/2017,10450,Idul Adha 2017
1,Beras Kualitas Bawah I,21/08/2017,9200,Idul Adha 2017
2,Beras Kualitas Bawah II,21/08/2017,8700,Idul Adha 2017
3,Beras Kualitas Medium I,21/08/2017,10550,Idul Adha 2017
4,Beras Kualitas Medium II,21/08/2017,9950,Idul Adha 2017
5,Beras Kualitas Super I,21/08/2017,12600,Idul Adha 2017
6,Beras Kualitas Super II,21/08/2017,11600,Idul Adha 2017
II,Daging Ayam,21/08/2017,31650,Idul Adha 2017
1,Daging Ayam Ras Segar,21/08/2017,31650,Idul Adha 2017
III,Daging Sapi,21/08/2017,123150,Idul Adha 2017
1,Daging Sapi Kualitas 1,21/08/2017,127650,Idul Adha 2017
2,Daging Sapi Kualitas 2,21/08/2017,118600,Idul Adha 2017
IV,Telur Ayam,21/08/2017,21050,Idul Adha 2017
1,Telur Ayam Ras Segar,21/08/2017,21050,Idul Adha 2017
V,Bawang Merah,21/08/2017,27200,Idul Adha 2017
1,Bawang Merah Ukuran Sedang,21/08/2017,27200,Idul Adha 2017
VI,Bawang Putih,21/08/2017,33350,Idul Adha 2017
1,Bawang Putih Ukuran Sedang,21/08/2017,33350,Idul Adha 2017
VII,Cabai Merah,21/08/2017,27700,Idul Adha 2017
1,Cabai Merah Besar,21/08/2017,30800,Idul Adha 2017
2,Cabai Merah Keriting ,21/08/2017,24550,Idul Adha 2017
VIII,Cabai Rawit,21/08/2017,29500,Idul Adha 2017
1,Cabai Rawit Hijau,21/08/2017,21250,Idul Adha 2017
2,Cabai Rawit Merah,21/08/2017,37700,Idul Adha 2017
IX,Minyak Goreng,21/08/2017,13250,Idul Adha 2017
1,Minyak Goreng Curah,21/08/2017,11950,Idul Adha 2017
2,Minyak Goreng Kemasan Bermerk 1,21/08/2017,14150,Idul Adha 2017
3,Minyak Goreng Kemasan Bermerk 2,21/08/2017,13650,Idul Adha 2017
X,Gula Pasir,21/08/2017,14600,Idul Adha 2017
1,Gula Pasir Kualitas Premium,21/08/2017,16200,Idul Adha 2017
2,Gula Pasir Lokal,21/08/2017,13000,Idul Adha 2017
