No,Komoditas,Tanggal_Raw,Harga,Tahun_Sumber
2,Cabai Rawit Merah,31/05/2024,40450,Idul Adha 2024
IX,Minyak Goreng,31/05/2024,18450,Idul Adha 2024
1,Minyak Goreng Curah,31/05/2024,17050,Idul Adha 2024
2,Minyak Goreng Kemasan Bermerk 1,31/05/2024,19650,Idul Adha 2024
3,Minyak Goreng Kemasan Bermerk 2,31/05/2024,18650,Idul Adha 2024
X,Gula Pasir,31/05/2024,18600,Idul Adha 2024
1,Gula Pasir Kualitas Premium,31/05/2024,18800,Idul Adha 2024
2,Gula Pasir Lokal,31/05/2024,18400,Idul Adha 2024
I,Beras,03/06/2024,14500,Idul Adha 2024
1,Beras Kualitas Bawah I,03/06/2024,13400,Idul Adha 2024
2,Beras Kualitas Bawah II,03/06/2024,12650,Idul Adha 2024
3,Beras Kualitas Medium I,03/06/2024,14950,Idul Adha 2024
4,Beras Kualitas Medium II,03/06/2024,14250,Idul Adha 2024
5,Beras Kualitas Super I,03/06/2024,16300,Idul Adha 2024
6,Beras Kualitas Super II,03/06/2024,15500,Idul Adha 2024
II,Daging Ayam,03/06/2024,35700,Idul Adha 2024
1,Daging Ayam Ras Segar,03/06/2024,35700,Idul Adha 2024
III,Daging Sapi,03/06/2024,140850,Idul Adha 2024
1,Daging Sapi Kualitas 1,03/06/2024,145400,Idul Adha 2024
2,Daging Sapi Kualitas 2,03/06/2024,136250,Idul Adha 2024
IV,Telur Ayam,03/06/2024,29000,Idul Adha 2024
1,Telur Ayam Ras Segar,03/06/2024,29000,Idul Adha 2024
V,Bawang Merah,03/06/2024,45900,Idul Adha 2024
1,Bawang Merah Ukuran Sedang,03/06/2024,45900,Idul Adha 2024
VI,Bawang Putih,03/06/2024,44550,Idul Adha 2024
1,Bawang Putih Ukuran Sedang,03/06/2024,44550,Idul Adha 2024
VII,Cabai Merah,03/06/2024,51200,Idul Adha 2024
1,Cabai Merah Besar,03/06/2024,50550,Idul Adha 2024
2,Cabai Merah Keriting ,03/06/2024,51800,Idul Adha 2024
VIII,Cabai Rawit,03/06/2024,41900,Idul Adha 2024
1,Cabai Rawit Hijau,03/06/2024,42700,Idul Adha 2024
2,Cabai Rawit Merah,03/06/2024,41050,Idul Adha 2024
IX,Minyak Goreng,03/06/2024,18500,Idul Adha 2024
1,Minyak Goreng Curah,03/06/2024,17150,Idul Adha 2024
2,Minyak Goreng Kemasan Bermerk 1,03/06/2024,19650,Idul Adha 2024
3,Minyak Goreng Kemasan Bermerk 2,03/06/2024,18650,Idul Adha 2024
X,Gula Pasir,03/06/2024,18600,Idul Adha 2024
1,Gula Pasir Kualitas Premium,03/06/2024,18800,Idul Adha 2024
2,Gula Pasir Lokal,03/06/2024,18400,Idul Adha 2024
I,Beras,04/06/2024,14500,Idul Adha 2024
1,Beras Kualitas Bawah I,04/06/2024,13400,Idul Adha 2024
2,Beras Kualitas Bawah II,04/06/2024,12650,Idul Adha 2024
3,Beras Kualitas Medium I,04/06/2024,14950,Idul Adha 2024
4,Beras Kualitas Medium II,04/06/2024,14250,Idul Adha 2024
5,Beras Kualitas Super I,04/06/2024,16300,Idul Adha 2024
6,Beras Kualitas Super II,04/06/2024,15500,Idul Adha 2024
II,Daging Ayam,04/06/2024,35500,Idul Adha 2024
1,Daging Ayam Ras Segar,04/06/2024,35500,Idul Adha 2024
III,Daging Sapi,04/06/2024,140850,Idul Adha 2024
1,Daging Sapi Kualitas 1,04/06/2024,145400,Idul Adha 2024
2,Daging Sapi Kualitas 2,04/06/2024,136250,Idul Adha 2024
IV,Telur Ayam,04/06/2024,28750,Idul Adha 2024
1,Telur Ayam Ras Segar,04/06/2024,28750,Idul Adha 2024
V,Bawang Merah,04/06/2024,45300,Idul Adha 2024
1,Bawang Merah Ukuran Sedang,04/06/2024,45300,Idul Adha 2024
VI,Bawang Putih,04/06/2024,44450,Idul Adha 2024
1,Bawang Putih Ukuran Sedang,04/06/2024,44450,Idul Adha 2024
VII,Cabai Merah,04/06/2024,52000,Idul Adha 2024
1,Cabai Merah Besar,04/06/2024,51450,Idul Adha 2024
2,Cabai Merah Keriting ,04/06/2024,52550,Idul Adha 2024
VIII,Cabai Rawit,04/06/2024,42000,Idul Adha 2024
1,Cabai Rawit Hijau,04/06/2024,42750,Idul Adha 2024
2,Cabai Rawit Merah,04/06/2024,41250,Idul Adha 2024
IX,Minyak Goreng,04/06/2024,18500,Idul Adha 2024
1,Minyak Goreng Curah,04/06/2024,17150,Idul Adha 2024
2,Minyak Goreng Kemasan Bermerk 1,04/06/2024,19650,Idul Adha 2024
3,Minyak Goreng Kemasan Bermerk 2,04/06/2024,18650,Idul Adha 2024
X,Gula Pasir,04/06/2024,18600,Idul Adha 2024
1,Gula Pasir Kualitas Premium,04/06/2024,18800,Idul Adha 2024
2,Gula Pasir Lokal,04/06/2024,18400,Idul Adha 2024
I,Beras,05/06/2024,14450,Idul Adha 2024
1,Beras Kualitas Bawah I,05/06/2024,13350,Idul Adha 2024
2,Beras Kualitas Bawah II,05/06/2024,12600,Idul Adha 2024
3,Beras Kualitas Medium I,05/06/2024,14950,Idul Adha 2024
4,Beras Kualitas Medium II,05/06/2024,14250,Idul Adha 2024
5,Beras Kualitas Super I,05/06/2024,16250,Idul Adha 2024
6,Beras Kualitas Super II,05/06/2024,15450,Idul Adha 2024
II,Daging Ayam,05/06/2024,35300,Idul Adha 2024
1,Daging Ayam Ras Segar,05/06/2024,35300,Idul Adha 2024
III,Daging Sapi,05/06/2024,140850,Idul Adha 2024
1,Daging Sapi Kualitas 1,05/06/2024,145400,Idul Adha 2024
2,Daging Sapi Kualitas 2,05/06/2024,136250,Idul Adha 2024
IV,Telur Ayam,05/06/2024,28500,Idul Adha 2024
1,Telur Ayam Ras Segar,05/06/2024,28500,Idul Adha 2024
V,Bawang Merah,05/06/2024,44050,Idul Adha 2024
1,Bawang Merah Ukuran Sedang,05/06/2024,44050,Idul Adha 2024
VI,Bawang Putih,05/06/2024,44400,Idul Adha 2024
1,Bawang Putih Ukuran Sedang,05/06/2024,44400,Idul Adha 2024
VII,Cabai Merah,05/06/2024,52200,Idul Adha 2024
1,Cabai Merah Besar,05/06/2024,51650,Idul Adha 2024
2,Cabai Merah Keriting ,05/06/2024,52800,Idul Adha 2024
VIII,Cabai Rawit,05/06/2024,41900,Idul Adha 2024
1,Cabai Rawit Hijau,05/06/2024,42350,Idul Adha 2024
2,Cabai Rawit Merah,05/06/2024,41450,Idul Adha 2024
IX,Minyak Goreng,05/06/2024,18500,Idul Adha 2024
1,Minyak Goreng Curah,05/06/2024,17150,Idul Adha 2024
2,Minyak Goreng Kemasan Bermerk 1,05/06/2024,19650,Idul Adha 2024
3,Minyak Goreng Kemasan Bermerk 2,05/06/2024,18650,Idul Adha 2024
X,Gula Pasir,05/06/2024,18600,Idul Adha 2024
1,Gula Pasir Kualitas Premium,05/06/2024,18800,Idul Adha 2024
2,Gula Pasir Lokal,05/06/2024,18400,Idul Adha 2024
I,Beras,06/06/2024,14450,Idul Adha 2024
1,Beras Kualitas Bawah I,06/06/2024,13350,Idul Adha 2024
2,Beras Kualitas Bawah II,06/06/2024,12600,Idul Adha 2024
3,Beras Kualitas Medium I,06/06/2024,14950,Idul Adha 2024
4,Beras Kualitas Medium II,06/06/2024,14250,Idul Adha 2024
5,Beras Kualitas Super I,06/06/2024,16250,Idul Adha 2024
6,Beras Kualitas Super II,06/06/2024,15450,Idul Adha 2024
II,Daging Ayam,06/06/2024,35150,Idul Adha 2024
1,Daging Ayam Ras Segar,06/06/2024,35150,Idul Adha 2024
III,Daging Sapi,06/06/2024,140850,Idul Adha 2024
1,Daging Sapi Kualitas 1,06/06/2024,145400,Idul Adha 2024
2,Daging Sapi Kualitas 2,06/06/2024,136250,Idul Adha 2024
IV,Telur Ayam,06/06/2024,28500,Idul Adha 2024
1,Telur Ayam Ras Segar,06/06/2024,28500,Idul Adha 2024
V,Bawang Merah,06/06/2024,43100,Idul Adha 2024
1,Bawang Merah Ukuran Sedang,06/06/2024,43100,Idul Adha 2024
VI,Bawang Putih,06/06/2024,44350,Idul Adha 2024
1,Bawang Putih Ukuran Sedang,06/06/2024,44350,Idul Adha 2024
VII,Cabai Merah,06/06/2024,52050,Idul Adha 2024
1,Cabai Merah Besar,06/06/2024,51550,Idul Adha 2024
2,Cabai Merah Keriting ,06/06/2024,52550,Idul Adha 2024
VIII,Cabai Rawit,06/06/2024,41650,Idul Adha 2024
1,Cabai Rawit Hijau,06/06/2024,42150,Idul Adha 2024
2,Cabai Rawit Merah,06/06/2024,41150,Idul Adha 2024
IX,Minyak Goreng,06/06/2024,18500,Idul Adha 2024
1,Minyak Goreng Curah,06/06/2024,17150,Idul Adha 2024
2,Minyak Goreng Kemasan Bermerk 1,06/06/2024,19650,Idul Adha 2024
3,Minyak Goreng Kemasan Bermerk 2,06/06/2024,18650,Idul Adha 2024
X,Gula Pasir,06/06/2024,18600,Idul Adha 2024
1,Gula Pasir Kualitas Premium,06/06/2024,18800,Idul Adha 2024
2,Gula Pasir Lokal,06/06/2024,18400,Idul Adha 2024
I,Beras,07/06/2024,14450,Idul Adha 2024
1,Beras Kualitas Bawah I,07/06/2024,13350,Idul Adha 2024
2,Beras Kualitas Bawah II,07/06/2024,12600,Idul Adha 2024
3,Beras Kualitas Medium I,07/06/2024,14950,Idul Adha 2024
4,Beras Kualitas Medium II,07/06/2024,14250,Idul Adha 2024
5,Beras Kualitas Super I,07/06/2024,16250,Idul Adha 2024
6,Beras Kualitas Super II,07/06/2024,15450,Idul Adha 2024
II,Daging Ayam,07/06/2024,34950,Idul Adha 2024
1,Daging Ayam Ras Segar,07/06/2024,34950,Idul Adha 2024
III,Daging Sapi,07/06/2024,140850,Idul Adha 2024
1,Daging Sapi Kualitas 1,07/06/2024,145400,Idul Adha 2024
2,Daging Sapi Kualitas 2,07/06/2024,136250,Idul Adha 2024
IV,Telur Ayam,07/06/2024,28300,Idul Adha 2024
1,Telur Ayam Ras Segar,07/06/2024,28300,Idul Adha 2024
V,Bawang Merah,07/06/2024,42700,Idul Adha 2024
1,Bawang Merah Ukuran Sedang,07/06/2024,42700,Idul Adha 2024
VI,Bawang Putih,07/06/2024,44300,Idul Adha 2024
1,Bawang Putih Ukuran Sedang,07/06/2024,44300,Idul Adha 2024
VII,Cabai Merah,07/06/2024,51700,Idul Adha 2024
1,Cabai Merah Besar,07/06/2024,51150,Idul Adha 2024
2,Cabai Merah Keriting ,07/06/2024,52200,Idul Adha 2024
VIII,Cabai Rawit,07/06/2024,41550,Idul Adha 2024
1,Cabai Rawit Hijau,07/06/2024,42100,Idul Adha 2024
2,Cabai Rawit Merah,07/06/2024,40950,Idul Adha 2024
IX,Minyak Goreng,07/06/2024,18450,Idul Adha 2024
1,Minyak Goreng Curah,07/06/2024,17150,Idul Adha 2024
2,Minyak Goreng Kemasan Bermerk 1,07/06/2024,19650,Idul Adha 2024
3,Minyak Goreng Kemasan Bermerk 2,07/06/2024,18650,Idul Adha 2024
X,Gula Pasir,07/06/2024,18600,Idul Adha 2024
1,Gula Pasir Kualitas Premium,07/06/2024,18800,Idul Adha 2024
2,Gula Pasir Lokal,07/06/2024,18400,Idul Adha 2024
I,Beras,10/06/2024,14500,Idul Adha 2024
1,Beras Kualitas Bawah I,10/06/2024,13400,Idul Adha 2024
2,Beras Kualitas Bawah II,10/06/2024,12650,Idul Adha 2024
3,Beras Kualitas Medium I,10/06/2024,14950,Idul Adha 2024
4,Beras Kualitas Medium II,10/06/2024,14250,Idul Adha 2024
5,Beras Kualitas Super I,10/06/2024,16250,Idul Adha 2024
6,Beras Kualitas Super II,10/06/2024,15500,Idul Adha 2024
II,Daging Ayam,10/06/2024,35850,Idul Adha 2024
1,Daging Ayam Ras Segar,10/06/2024,35850,Idul Adha 2024
III,Daging Sapi,10/06/2024,140900,Idul Adha 2024
1,Daging Sapi Kualitas 1,10/06/2024,145700,Idul Adha 2024
2,Daging Sapi Kualitas 2,10/06/2024,136100,Idul Adha 2024
IV,Telur Ayam,10/06/2024,28250,Idul Adha 2024
1,Telur Ayam Ras Segar,10/06/2024,28250,Idul Adha 2024
V,Bawang Merah,10/06/2024,42700,Idul Adha 2024
1,Bawang Merah Ukuran Sedang,10/06/2024,42700,Idul Adha 2024
VI,Bawang Putih,10/06/2024,43900,Idul Adha 2024
1,Bawang Putih Ukuran Sedang,10/06/2024,43900,Idul Adha 2024
VII,Cabai Merah,10/06/2024,54600,Idul Adha 2024
1,Cabai Merah Besar,10/06/2024,55150,Idul Adha 2024
2,Cabai Merah Keriting ,10/06/2024,54000,Idul Adha 2024
VIII,Cabai Rawit,10/06/2024,44950,Idul Adha 2024
1,Cabai Rawit Hijau,10/06/2024,44450,Idul Adha 2024
2,Cabai Rawit Merah,10/06/2024,45450,Idul Adha 2024
IX,Minyak Goreng,10/06/2024,18500,Idul Adha 2024
1,Minyak Goreng Curah,10/06/2024,17150,Idul Adha 2024
2,Minyak Goreng Kemasan Bermerk 1,10/06/2024,19650,Idul Adha 2024
3,Minyak Goreng Kemasan Bermerk 2,10/06/2024,18600,Idul Adha 2024
X,Gula Pasir,10/06/2024,18600,Idul Adha 2024
1,Gula Pasir Kualitas Premium,10/06/2024,18800,Idul Adha 2024
2,Gula Pasir Lokal,10/06/2024,18400,Idul Adha 2024
I,Beras,11/06/2024,14500,Idul Adha 2024
1,Beras Kualitas Bawah I,11/06/2024,13400,Idul Adha 2024
2,Beras Kualitas Bawah II,11/06/2024,12650,Idul Adha 2024
3,Beras Kualitas Medium I,11/06/2024,14950,Idul Adha 2024
4,Beras Kualitas Medium II,11/06/2024,14250,Idul Adha 2024
5,Beras Kualitas Super I,11/06/2024,16250,Idul Adha 2024
6,Beras Kualitas Super II,11/06/2024,15500,Idul Adha 2024
II,Daging Ayam,11/06/2024,36200,Idul Adha 2024
1,Daging Ayam Ras Segar,11/06/2024,36200,Idul Adha 2024
III,Daging Sapi,11/06/2024,140900,Idul Adha 2024
1,Daging Sapi Kualitas 1,11/06/2024,145700,Idul Adha 2024
2,Daging Sapi Kualitas 2,11/06/2024,136100,Idul Adha 2024
IV,Telur Ayam,11/06/2024,28200,Idul Adha 2024
1,Telur Ayam Ras Segar,11/06/2024,28200,Idul Adha 2024
V,Bawang Merah,11/06/2024,42950,Idul Adha 2024
1,Bawang Merah Ukuran Sedang,11/06/2024,42950,Idul Adha 2024
VI,Bawang Putih,11/06/2024,43900,Idul Adha 2024
1,Bawang Putih Ukuran Sedang,11/06/2024,43900,Idul Adha 2024
VII,Cabai Merah,11/06/2024,54900,Idul Adha 2024
1,Cabai Merah Besar,11/06/2024,55350,Idul Adha 2024
2,Cabai Merah Keriting ,11/06/2024,54450,Idul Adha 2024
VIII,Cabai Rawit,11/06/2024,44850,Idul Adha 2024
1,Cabai Rawit Hijau,11/06/2024,44100,Idul Adha 2024
2,Cabai Rawit Merah,11/06/2024,45650,Idul Adha 2024
IX,Minyak Goreng,11/06/2024,18500,Idul Adha 2024
1,Minyak Goreng Curah,11/06/2024,17200,Idul Adha 2024
2,Minyak Goreng Kemasan Bermerk 1,11/06/2024,19650,Idul Adha 2024
3,Minyak Goreng Kemasan Bermerk 2,11/06/2024,18600,Idul Adha 2024
X,Gula Pasir,11/06/2024,18600,Idul Adha 2024
1,Gula Pasir Kualitas Premium,11/06/2024,18800,Idul Adha 2024
2,Gula Pasir Lokal,11/06/2024,18350,Idul Adha 2024
I,Beras,12/06/2024,14500,Idul Adha 2024
1,Beras Kualitas Bawah I,12/06/2024,13400,Idul Adha 2024
2,Beras Kualitas Bawah II,12/06/2024,12650,Idul Adha 2024
3,Beras Kualitas Medium I,12/06/2024,14950,Idul Adha 2024
4,Beras Kualitas Medium II,12/06/2024,14250,Idul Adha 2024
5,Beras Kualitas Super I,12/06/2024,16250,Idul Adha 2024
6,Beras Kualitas Super II,12/06/2024,15500,Idul Adha 2024
II,Daging Ayam,12/06/2024,36700,Idul Adha 2024
1,Daging Ayam Ras Segar,12/06/2024,36700,Idul Adha 2024
III,Daging Sapi,12/06/2024,140900,Idul Adha 2024
1,Daging Sapi Kualitas 1,12/06/2024,145700,Idul Adha 2024
2,Daging Sapi Kualitas 2,12/06/2024,136100,Idul Adha 2024
IV,Telur Ayam,12/06/2024,28250,Idul Adha 2024
1,Telur Ayam Ras Segar,12/06/2024,28250,Idul Adha 2024
V,Bawang Merah,12/06/2024,42850,Idul Adha 2024
1,Bawang Merah Ukuran Sedang,12/06/2024,42850,Idul Adha 2024
VI,Bawang Putih,12/06/2024,43900,Idul Adha 2024
1,Bawang Putih Ukuran Sedang,12/06/2024,43900,Idul Adha 2024
VII,Cabai Merah,12/06/2024,55950,Idul Adha 2024
1,Cabai Merah Besar,12/06/2024,56200,Idul Adha 2024
2,Cabai Merah Keriting ,12/06/2024,55650,Idul Adha 2024
VIII,Cabai Rawit,12/06/2024,45300,Idul Adha 2024
1,Cabai Rawit Hijau,12/06/2024,44450,Idul Adha 2024
2,Cabai Rawit Merah,12/06/2024,46150,Idul Adha 2024
IX,Minyak Goreng,12/06/2024,18500,Idul Adha 2024
1,Minyak Goreng Curah,12/06/2024,17200,Idul Adha 2024
2,Minyak Goreng Kemasan Bermerk 1,12/06/2024,19650,Idul Adha 2024
3,Minyak Goreng Kemasan Bermerk 2,12/06/2024,18600,Idul Adha 2024
X,Gula Pasir,12/06/2024,18600,Idul Adha 2024
1,Gula Pasir Kualitas Premium,12/06/2024,18800,Idul Adha 2024
2,Gula Pasir Lokal,12/06/2024,18350,Idul Adha 2024
I,Beras,13/06/2024,14500,Idul Adha 2024
1,Beras Kualitas Bawah I,13/06/2024,13400,Idul Adha 2024
2,Beras Kualitas Bawah II,13/06/2024,12650,Idul Adha 2024
3,Beras Kualitas Medium I,13/06/2024,14950,Idul Adha 2024
4,Beras Kualitas Medium II,13/06/2024,14250,Idul Adha 2024
5,Beras Kualitas Super I,13/06/2024,16250,Idul Adha 2024
6,Beras Kualitas Super II,13/06/2024,15500,Idul Adha 2024
II,Daging Ayam,13/06/2024,37100,Idul Adha 2024
1,Daging Ayam Ras Segar,13/06/2024,37100,Idul Adha 2024
III,Daging Sapi,13/06/2024,140900,Idul Adha 2024
1,Daging Sapi Kualitas 1,13/06/2024,145700,Idul Adha 2024
2,Daging Sapi Kualitas 2,13/06/2024,136100,Idul Adha 2024
IV,Telur Ayam,13/06/2024,28450,Idul Adha 2024
1,Telur Ayam Ras Segar,13/06/2024,28450,Idul Adha 2024
V,Bawang Merah,13/06/2024,43500,Idul Adha 2024
1,Bawang Merah Ukuran Sedang,13/06/2024,43500,Idul Adha 2024
VI,Bawang Putih,13/06/2024,43850,Idul Adha 2024
1,Bawang Putih Ukuran Sedang,13/06/2024,43850,Idul Adha 2024
VII,Cabai Merah,13/06/2024,58900,Idul Adha 2024
1,Cabai Merah Besar,13/06/2024,58200,Idul Adha 2024
2,Cabai Merah Keriting ,13/06/2024,59550,Idul Adha 2024
VIII,Cabai Rawit,13/06/2024,45450,Idul Adha 2024
1,Cabai Rawit Hijau,13/06/2024,44750,Idul Adha 2024
2,Cabai Rawit Merah,13/06/2024,46100,Idul Adha 2024
IX,Minyak Goreng,13/06/2024,18500,Idul Adha 2024
1,Minyak Goreng Curah,13/06/2024,17200,Idul Adha 2024
2,Minyak Goreng Kemasan Bermerk 1,13/06/2024,19650,Idul Adha 2024
3,Minyak Goreng Kemasan Bermerk 2,13/06/2024,18600,Idul Adha 2024
X,Gula Pasir,13/06/2024,18600,Idul Adha 2024
1,Gula Pasir Kualitas Premium,13/06/2024,18800,Idul Adha 2024
2,Gula Pasir Lokal,13/06/2024,18350,Idul Adha 2024
I,Beras,14/06/2024,14500,Idul Adha 2024
1,Beras Kualitas Bawah I,14/06/2024,13400,Idul Adha 2024
2,Beras Kualitas Bawah II,14/06/2024,12650,Idul Adha 2024
3,Beras Kualitas Medium I,14/06/2024,14950,Idul Adha 2024
4,Beras Kualitas Medium II,14/06/2024,14250,Idul Adha 2024
5,Beras Kualitas Super I,14/06/2024,16250,Idul Adha 2024
6,Beras Kualitas Super II,14/06/2024,15500,Idul Adha 2024
II,Daging Ayam,14/06/2024,37450,Idul Adha 2024
1,Daging Ayam Ras Segar,14/06/2024,37450,Idul Adha 2024
III,Daging Sapi,14/06/2024,140900,Idul Adha 2024
1,Daging Sapi Kualitas 1,14/06/2024,145700,Idul Adha 2024
2,Daging Sapi Kualitas 2,14/06/2024,136100,Idul Adha 2024
IV,Telur Ayam,14/06/2024,28600,Idul Adha 2024
1,Telur Ayam Ras Segar,14/06/2024,28600,Idul Adha 2024
V,Bawang Merah,14/06/2024,43500,Idul Adha 2024
1,Bawang Merah Ukuran Sedang,14/06/2024,43500,Idul Adha 2024
VI,Bawang Putih,14/06/2024,44050,Idul Adha 2024
1,Bawang Putih Ukuran Sedang,14/06/2024,44050,Idul Adha 2024
VII,Cabai Merah,14/06/2024,60500,Idul Adha 2024
1,Cabai Merah Besar,14/06/2024,60950,Idul Adha 2024
2,Cabai Merah Keriting ,14/06/2024,60000,Idul Adha 2024
VIII,Cabai Rawit,14/06/2024,45900,Idul Adha 2024
1,Cabai Rawit Hijau,14/06/2024,45550,Idul Adha 2024
2,Cabai Rawit Merah,14/06/2024,46250,Idul Adha 2024
IX,Minyak Goreng,14/06/2024,18500,Idul Adha 2024
1,Minyak Goreng Curah,14/06/2024,17200,Idul Adha 2024
2,Minyak Goreng Kemasan Bermerk 1,14/06/2024,19650,Idul Adha 2024
3,Minyak Goreng Kemasan Bermerk 2,14/06/2024,18600,Idul Adha 2024
X,Gula Pasir,14/06/2024,18600,Idul Adha 2024
1,Gula Pasir Kualitas Premium,14/06/2024,18800,Idul Adha 2024
2,Gula Pasir Lokal,14/06/2024,18350,Idul Adha 2024
I,Beras,17/06/2024,14500,Idul Adha 2024
1,Beras Kualitas Bawah I,17/06/2024,13400,Idul Adha 2024
2,Beras Kualitas Bawah II,17/06/2024,12650,Idul Adha 2024
3,Beras Kualitas Medium I,17/06/2024,14950,Idul Adha 2024
4,Beras Kualitas Medium II,17/06/2024,14250,Idul Adha 2024
5,Beras Kualitas Super I,17/06/2024,16250,Idul Adha 2024
6,Beras Kualitas Super II,17/06/2024,15500,Idul Adha 2024
II,Daging Ayam,17/06/2024,37450,Idul Adha 2024
1,Daging Ayam Ras Segar,17/06/2024,37450,Idul Adha 2024
III,Daging Sapi,17/06/2024,140900,Idul Adha 2024
1,Daging Sapi Kualitas 1,17/06/2024,145700,Idul Adha 2024
2,Daging Sapi Kualitas 2,17/06/2024,136100,Idul Adha 2024
IV,Telur Ayam,17/06/2024,28600,Idul Adha 2024
1,Telur Ayam Ras Segar,17/06/2024,28600,Idul Adha 2024
V,Bawang Merah,17/06/2024,43500,Idul Adha 2024
1,Bawang Merah Ukuran Sedang,17/06/2024,43500,Idul Adha 2024
VI,Bawang Putih,17/06/2024,44050,Idul Adha 2024
1,Bawang Putih Ukuran Sedang,17/06/2024,44050,Idul Adha 2024
VII,Cabai Merah,17/06/2024,60500,Idul Adha 2024
1,Cabai Merah Besar,17/06/2024,60950,Idul Adha 2024
2,Cabai Merah Keriting ,17/06/2024,60000,Idul Adha 2024
VIII,Cabai Rawit,17/06/2024,45900,Idul Adha 2024
1,Cabai Rawit Hijau,17/06/2024,45550,Idul Adha 2024
2,Cabai Rawit Merah,17/06/2024,46250,Idul Adha 2024
IX,Minyak Goreng,17/06/2024,18500,Idul Adha 2024
1,Minyak Goreng Curah,17/06/2024,17200,Idul Adha 2024
2,Minyak Goreng Kemasan Bermerk 1,17/06/2024,19650,Idul Adha 2024
3,Minyak Goreng Kemasan Bermerk 2,17/06/2024,18600,Idul Adha 2024
X,Gula Pasir,17/06/2024,18600,Idul Adha 2024
1,Gula Pasir Kualitas Premium,17/06/2024,18800,Idul Adha 2024
2,Gula Pasir Lokal,17/06/2024,18350,Idul Adha 2024
I,Beras,18/06/2024,14500,Idul Adha 2024
1,Beras Kualitas Bawah I,18/06/2024,13400,Idul Adha 2024
2,Beras Kualitas Bawah II,18/06/2024,12650,Idul Adha 2024
3,Beras Kualitas Medium I,18/06/2024,14950,Idul Adha 2024
4,Beras Kualitas Medium II,18/06/2024,14250,Idul Adha 2024
5,Beras Kualitas Super I,18/06/2024,16250,Idul Adha 2024
6,Beras Kualitas Super II,18/06/2024,15500,Idul Adha 2024
II,Daging Ayam,18/06/2024,37450,Idul Adha 2024
1,Daging Ayam Ras Segar,18/06/2024,37450,Idul Adha 2024
III,Daging Sapi,18/06/2024,140900,Idul Adha 2024
1,Daging Sapi Kualitas 1,18/06/2024,145700,Idul Adha 2024
2,Daging Sapi Kualitas 2,18/06/2024,136100,Idul Adha 2024
IV,Telur Ayam,18/06/2024,28600,Idul Adha 2024
1,Telur Ayam Ras Segar,18/06/2024,28600,Idul Adha 2024
V,Bawang Merah,18/06/2024,43500,Idul Adha 2024
1,Bawang Merah Ukuran Sedang,18/06/2024,43500,Idul Adha 2024
VI,Bawang Putih,18/06/2024,44050,Idul Adha 2024
1,Bawang Putih Ukuran Sedang,18/06/2024,44050,Idul Adha 2024
VII,Cabai Merah,18/06/2024,60500,Idul Adha 2024
1,Cabai Merah Besar,18/06/2024,60950,Idul Adha 2024
2,Cabai Merah Keriting ,18/06/2024,60000,Idul Adha 2024
VIII,Cabai Rawit,18/06/2024,45900,Idul Adha 2024
1,Cabai Rawit Hijau,18/06/2024,45550,Idul Adha 2024
2,Cabai Rawit Merah,18/06/2024,46250,Idul Adha 2024
IX,Minyak Goreng,18/06/2024,18500,Idul Adha 2024
1,Minyak Goreng Curah,18/06/2024,17200,Idul Adha 2024
2,Minyak Goreng Kemasan Bermerk 1,18/06/2024,19650,Idul Adha 2024
3,Minyak Goreng Kemasan Bermerk 2,18/06/2024,18600,Idul Adha 2024
X,Gula Pasir,18/06/2024,18600,Idul Adha 2024
1,Gula Pasir Kualitas Premium,18/06/2024,18800,Idul Adha 2024
2,Gula Pasir Lokal,18/06/2024,18350,Idul Adha 2024
I,Beras,19/06/2024,14500,Idul Adha 2024
1,Beras Kualitas Bawah I,19/06/2024,13400,Idul Adha 2024
2,Beras Kualitas Bawah II,19/06/2024,12700,Idul Adha 2024
3,Beras Kualitas Medium I,19/06/2024,14950,Idul Adha 2024
4,Beras Kualitas Medium II,19/06/2024,14300,Idul Adha 2024
5,Beras Kualitas Super I,19/06/2024,16150,Idul Adha 2024
6,Beras Kualitas Super II,19/06/2024,15400,Idul Adha 2024
II,Daging Ayam,19/06/2024,38550,Idul Adha 2024
1,Daging Ayam Ras Segar,19/06/2024,38550,Idul Adha 2024
III,Daging Sapi,19/06/2024,142300,Idul Adha 2024
1,Daging Sapi Kualitas 1,19/06/2024,146800,Idul Adha 2024
2,Daging Sapi Kualitas 2,19/06/2024,137800,Idul Adha 2024
IV,Telur Ayam,19/06/2024,28450,Idul Adha 2024
1,Telur Ayam Ras Segar,19/06/2024,28450,Idul Adha 2024
V,Bawang Merah,19/06/2024,42300,Idul Adha 2024
1,Bawang Merah Ukuran Sedang,19/06/2024,42300,Idul Adha 2024
VI,Bawang Putih,19/06/2024,43700,Idul Adha 2024
1,Bawang Putih Ukuran Sedang,19/06/2024,43700,Idul Adha 2024
VII,Cabai Merah,19/06/2024,66400,Idul Adha 2024
1,Cabai Merah Besar,19/06/2024,67500,Idul Adha 2024
2,Cabai Merah Keriting ,19/06/2024,65300,Idul Adha 2024
VIII,Cabai Rawit,19/06/2024,50250,Idul Adha 2024
1,Cabai Rawit Hijau,19/06/2024,52500,Idul Adha 2024
2,Cabai Rawit Merah,19/06/2024,48050,Idul Adha 2024
IX,Minyak Goreng,19/06/2024,18450,Idul Adha 2024
